prob,label,pred
0.913434,1,1
0.96626866,1,1
0.96961176,1,1
0.95796496,1,1
0.9486349,1,1
0.9518006,1,1
0.95371467,1,1
0.9676331,1,1
0.9529069,1,1
0.93035376,1,1
0.8734667,1,1
0.86007065,1,1
0.86617786,1,1
0.9058158,1,1
0.89049226,1,1
0.89703685,1,1
0.8504125,1,1
0.8248645,1,1
0.8365706,1,1
0.8634492,1,1
0.90455,1,1
0.91567755,1,1
0.8914184,1,1
0.9163055,1,1
0.9072057,1,1
0.9025179,1,1
0.8991846,1,1
0.88757885,1,1
0.8261262,1,1
0.72969663,1,1
0.61766535,1,1
0.6102683,1,1
0.6733724,1,1
0.5349259,1,1
0.6870016,1,1
0.7350282,1,1
0.7898189,1,1
0.73868346,1,1
0.7434768,1,1
0.7717364,1,1
0.7108996,1,1
0.6108651,1,1
0.6621127,1,1
0.6046942,1,1
0.5878235,1,1
0.68495977,1,1
0.6267894,1,1
0.4556763,1,0
0.5388954,1,1
0.50034064,1,0
0.4195157,1,0
0.426159,1,0
0.5267739,1,1
0.5853748,1,1
0.6532042,1,1
0.7695487,1,1
0.78187174,1,1
0.6685448,1,1
0.71003336,1,1
0.5868379,1,1
0.51156,1,0
0.5537478,1,1
0.59291476,1,1
0.45478773,1,0
0.44942483,1,0
0.5129295,1,0
0.487436,1,0
0.6045761,1,1
0.5228313,1,1
0.6294081,1,1
0.5752441,1,1
0.6733241,1,1
0.76871645,1,1
0.7283808,1,1
0.6788572,1,1
0.62151504,1,1
0.48647758,1,0
0.4007425,1,0
0.39078945,1,0
0.44141772,0,0
0.41508606,0,0
0.46946645,0,0
0.3981492,0,0
0.4578496,0,0
0.45309955,0,0
0.5060982,0,0
0.57584184,0,1
0.5246234,1,1
0.43961528,0,0
0.41483057,0,0
0.35618064,0,0
0.37725118,0,0
0.37799358,0,0
0.37304464,0,0
0.42912337,0,0
0.36969236,0,0
0.39640948,0,0
0.3710079,0,0
0.40757713,1,0
0.39192885,0,0
0.36691618,0,0
0.4089577,0,0
0.33826172,0,0
0.3686616,0,0
0.3246656,0,0
0.29736868,0,0
0.34960055,0,0
0.35577923,0,0
0.31004524,0,0
0.3837314,1,0
0.46351135,1,0
0.35905778,0,0
0.3344424,0,0
0.37241012,0,0
0.3673334,0,0
0.35614553,0,0
0.34924564,0,0
0.30654854,0,0
0.34087533,0,0
0.35744303,0,0
0.39463308,0,0
0.4184645,1,0
0.3796641,0,0
0.4043262,0,0
0.44276258,0,0
0.38261425,0,0
0.416213,0,0
0.31636924,0,0
0.42474356,0,0
0.35115516,0,0
0.39693388,0,0
0.482983,0,0
0.39669737,1,0
0.35636887,0,0
0.48871815,0,0
0.50934654,0,0
0.36126637,0,0
0.41865328,0,0
0.43262598,0,0
0.3963137,0,0
0.4024106,0,0
0.43932712,0,0
0.35845536,0,0
0.40594083,1,0
0.36144584,0,0
0.33405212,0,0
0.43934765,0,0
0.36151674,0,0
0.35746047,0,0
0.32997516,0,0
0.39453492,0,0
0.35766488,0,0
0.2922761,0,0
0.32003123,0,0
0.36399895,1,0
0.3421709,0,0
0.4161988,0,0
0.37522477,0,0
0.37483907,0,0
0.36600384,0,0
